央视,#genre#
黑龙江卫视,http://111.48.34.237/PLTV/88888888/224/3221230462/1.m3u8
河南卫视,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000463
河南卫视,http://111.48.34.237/PLTV/88888888/224/3221230511/1.m3u8
河南卫视,http://111.48.34.237/PLTV/88888888/224/3221229870/1.m3u8
河南卫视,http://111.48.34.237/PLTV/88888888/224/3221230535/1.m3u8
江西卫视,http://111.48.34.237/PLTV/88888888/224/3221229752/1.m3u8
江西卫视,http://111.48.34.237/PLTV/88888888/224/3221230537/1.m3u8
吉林卫视,http://111.48.34.237/PLTV/88888888/224/3221230361/1.m3u8
四川卫视,http://111.48.34.237/PLTV/88888888/224/3221229901/1.m3u8
四川卫视,http://111.48.34.237/PLTV/88888888/224/3221230140/1.m3u8
卡酷少儿,http://zteres.sn.chinamobile.com:6060/000000001000/7851974109718180595/1.m3u8?channel-id=bestzb&Contentid=7851974109718180595&livemode=1&stbId=3
卡酷少儿,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225743/index.m3u8
金鹰卡通,http://111.48.34.237/PLTV/88888888/224/3221230345/1.m3u8
金鹰卡通,http://111.48.34.237/PLTV/88888888/224/3221230468/1.m3u8
金鹰卡通,http://111.48.34.237/PLTV/88888888/224/3221230486/1.m3u8
哈哈炫动,http://zteres.sn.chinamobile.com:6060/000000001000/5000000005000031641/1.m3u8?channel-id=bestzb&Contentid=5000000005000031641&livemode=1&stbId=3
金鹰纪实,http://111.48.34.237/PLTV/88888888/224/3221229814/1.m3u8
金鹰纪实,http://111.48.34.237/PLTV/88888888/224/3221230420/1.m3u8
金鹰纪实,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000353
CETV1,http://111.48.34.237/PLTV/88888888/224/3221230523/1.m3u8
CHC高清电影,http://111.48.34.237/PLTV/88888888/224/3221230483/1.m3u8
CHC高清电影.http://111.48.34.237/PLTV/88888888/224/3221230492/1.m3u8
CHC动作电影,http://111.48.34.237/PLTV/88888888/224/3221230434/1.m3u8
CHC家庭影院,http://111.48.34.237/PLTV/88888888/224/3221230481/1.m3u8
CHC家庭影院,http://111.48.34.237/PLTV/88888888/224/3221230490/1.m3u8
